ID;RESP_ID;RESP_ID_RAW;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q011;Q013;Q015;Q016;Q017;Q019;Q021;Q022
0;0;r00000;0;2;1;;1;0;1;0;4;1;0;0;4;0;0;0;0
1;1;r00001;0;1;1;;1;1;1;1;4;1;1;0;2;1;1;0;1
2;1;r00001;0;1;1;;1;1;1;1;4;1;1;0;2;1;1;1;1
3;1;r00001;0;1;1;;1;1;1;1;9;1;1;0;2;1;1;0;1
4;1;r00001;0;1;1;;1;1;1;1;9;1;1;0;2;1;1;1;1
5;2;r00002;0;1;1;;1;0;2;0;;0;1;0;4;0;0;0;2
6;3;r00003;1;;;;1;0;1;1;4;1;1;0;5;0;0;2;0
7;3;r00003;1;;;;1;0;1;1;9;1;1;0;5;0;0;2;0
8;4;r00004;0;1;0;1;1;1;1;1;4;1;1;1;5;1;1;3;0
9;4;r00004;0;1;0;1;1;1;1;1;4;1;1;1;5;1;1;2;0
10;4;r00004;0;1;0;1;1;1;1;1;4;1;1;1;5;1;1;4;0
11;4;r00004;0;1;0;1;1;1;1;1;4;1;1;1;5;1;1;5;0
12;4;r00004;0;1;0;1;1;1;1;1;4;1;1;1;5;1;1;6;0
13;4;r00004;0;1;0;1;1;1;1;1;4;1;1;1;5;1;1;0;0
14;4;r00004;0;1;0;1;1;1;1;1;4;1;1;1;5;1;1;1;0
15;4;r00004;0;1;0;1;1;1;1;1;16;1;1;1;5;1;1;3;0
16;4;r00004;0;1;0;1;1;1;1;1;16;1;1;1;5;1;1;2;0
17;4;r00004;0;1;0;1;1;1;1;1;16;1;1;1;5;1;1;4;0
18;4;r00004;0;1;0;1;1;1;1;1;16;1;1;1;5;1;1;5;0
19;4;r00004;0;1;0;1;1;1;1;1;16;1;1;1;5;1;1;6;0
20;4;r00004;0;1;0;1;1;1;1;1;16;1;1;1;5;1;1;0;0
21;4;r00004;0;1;0;1;1;1;1;1;16;1;1;1;5;1;1;1;0
22;5;r00005;0;5;1;;1;0;0;1;4;0;1;0;5;0;0;5;0
23;5;r00005;0;5;1;;1;0;0;1;4;0;1;0;5;0;0;6;0
